snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Hamstring injury (disorder),135851009,11828581000119104,Injury of muscle of left thigh (disorder),(<!7523003|Injury of thigh (disorder)| AND <!280136002|Disorder of soft tissue of lower limb (disorder)| AND <!429340002|Traumatic injury of skeletal muscle (disorder)|)&limit=7000,5,5
Hamstring injury (disorder),135851009,11828541000119109,Injury of muscle of right thigh (disorder),(<!7523003|Injury of thigh (disorder)| AND <!280136002|Disorder of soft tissue of lower limb (disorder)| AND <!429340002|Traumatic injury of skeletal muscle (disorder)|)&limit=7000,5,5
Hamstring injury (disorder),135851009,733283004,Injury of quadriceps muscle (disorder),(<!7523003|Injury of thigh (disorder)| AND <!280136002|Disorder of soft tissue of lower limb (disorder)| AND <!429340002|Traumatic injury of skeletal muscle (disorder)|)&limit=7000,5,5
Hamstring injury (disorder),135851009,726225005,Injury of adductor muscle of thigh (disorder),(<!7523003|Injury of thigh (disorder)| AND <!280136002|Disorder of soft tissue of lower limb (disorder)| AND <!429340002|Traumatic injury of skeletal muscle (disorder)|)&limit=7000,5,5
Hamstring injury (disorder),135851009,135851009,Hamstring injury (disorder),(<!7523003|Injury of thigh (disorder)| AND <!280136002|Disorder of soft tissue of lower limb (disorder)| AND <!429340002|Traumatic injury of skeletal muscle (disorder)|)&limit=7000,5,5
Hypercholesterolemia (disorder),13644009,13644009,Hypercholesterolemia (disorder),(<!166830008|Serum cholesterol raised (finding)| AND <!55822004|Hyperlipidemia (disorder)|)&limit=7000,1,1
Chronic obstructive lung disease (disorder),13645005,13645005,Chronic obstructive lung disease (disorder),(<!68917000|Bronchiolar disease (disorder)| AND <!413839001|Chronic lung disease (disorder)|)&limit=7000,1,1
Brachycephaly (disorder),13649004,722902000,Cephalhematoma deformans of Schuller (disorder),(<!118945008|Disorder of skull (disorder)| AND <!271084006|Deformity of bone (disorder)|)&limit=7000,5,5
Brachycephaly (disorder),13649004,430904007,Basilar skull invagination (disorder),(<!118945008|Disorder of skull (disorder)| AND <!271084006|Deformity of bone (disorder)|)&limit=7000,5,5
Brachycephaly (disorder),13649004,86587003,Platybasia (disorder),(<!118945008|Disorder of skull (disorder)| AND <!271084006|Deformity of bone (disorder)|)&limit=7000,5,5
Brachycephaly (disorder),13649004,21850008,Plagiocephaly (disorder),(<!118945008|Disorder of skull (disorder)| AND <!271084006|Deformity of bone (disorder)|)&limit=7000,5,5
Brachycephaly (disorder),13649004,13649004,Brachycephaly (disorder),(<!118945008|Disorder of skull (disorder)| AND <!271084006|Deformity of bone (disorder)|)&limit=7000,5,5
Arthroscopy (procedure),13714004,13714004,Arthroscopy (procedure),(<!284393006|Examination of joint (procedure)| AND <!107739004|Musculoskeletal system endoscopy (procedure)|)&limit=7000,1,1
Acute nontraumatic kidney injury (disorder),140031000119103,140031000119103,Acute nontraumatic kidney injury (disorder),(<!105612003|Injury of internal organ (disorder)| AND <!14669001|Acute renal failure syndrome (disorder)| AND <!284005003|Abdominal cavity injury (disorder)| AND <!733386005|Injury of urinary organ (disorder)| AND <!1119219007|Nontraumatic injury (disorder)| AND <!79131000119100|Kidney lesion (finding)|)&limit=7000,1,1
"Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)",14537002,14537002,"Hodgkin lymphoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality)","(<!128930002|Hodgkin lymphoma - category (morphologic abnormality)| AND <!86049000|Malignant neoplasm, primary (morphologic abnormality)|)&limit=7000",1,1
Acute renal failure syndrome (disorder),14669001,14669001,Acute renal failure syndrome (disorder),(<!236424009|Acute renal impairment (disorder)| AND <!42399005|Renal failure syndrome (disorder)|)&limit=7000,1,1
Herpes labialis (disorder),1475003,1475003,Herpes labialis (disorder),(<!235055003|Oral herpes simplex infection (disorder)| AND <!737187008|Infection of lip (disorder)|)&limit=7000,1,1
Constipation (finding),14760008,14760008,Constipation (finding),(<!88111009|Altered bowel function (finding)| AND <!609624008|Finding of abdomen (finding)|)&limit=7000,1,1
Alcohol abuse (disorder),15167005,15167005,Alcohol abuse (disorder),(<!91388009|Psychoactive substance abuse (disorder)| AND <!7200002|Alcoholism (disorder)|)&limit=7000,1,1
Acquired trigger finger (disorder),1539003,1539003,Acquired trigger finger (disorder),(<!26517000|Acquired deformity of finger (disorder)| AND <!280135003|Disorder of soft tissue of upper limb (disorder)| AND <!239987006|Triggering of digit (disorder)| AND <!40668007|Acquired musculoskeletal deformity (disorder)|)&limit=7000,1,1
Gonorrhea (disorder),15628003,15628003,Gonorrhea (disorder),(<!8098009|Sexually transmitted infectious disease (disorder)| AND <!409790005|Disease caused by Neisseria (disorder)|)&limit=7000,1,1
Psoriatic arthritis (disorder),156370009,156370009,Psoriatic arthritis (disorder),(<!703938007|Inflammatory dermatosis (disorder)| AND <!724606001|Peripheral spondyloarthritis (disorder)| AND <!9014002|Psoriasis (disorder)|)&limit=7000,1,1
Diabetes insipidus (disorder),15771004,15771004,Diabetes insipidus (disorder),(<!111394006|Metabolic disorder of transport (disorder)| AND <!72442006|Disorder of posterior pituitary (disorder)|)&limit=7000,1,1
Acute sinusitis (disorder),15805002,111274000,Acute abscess of nasal sinus (disorder),(<!128482007|Acute inflammatory disease (disorder)| AND <!111273006|Acute respiratory disease (disorder)| AND <!36971009|Sinusitis (disorder)|)&limit=7000,2,2
Acute sinusitis (disorder),15805002,15805002,Acute sinusitis (disorder),(<!128482007|Acute inflammatory disease (disorder)| AND <!111273006|Acute respiratory disease (disorder)| AND <!36971009|Sinusitis (disorder)|)&limit=7000,2,2
Albinism (disorder),15890002,15890002,Albinism (disorder),(<!414032001|Disorder of pigmentation (disorder)| AND <!86095007|Inborn error of metabolism (disorder)| AND <!276654001|Congenital malformation (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)|)&limit=7000,1,1
Fracture of ankle (disorder),16114001,16114001,Fracture of ankle (disorder),(<!46866001|Fracture of lower limb (disorder)| AND <!125603006|Injury of ankle (disorder)|)&limit=7000,1,1
Backache (finding),161891005,161891005,Backache (finding),(<!301366005|Pain of truncal structure (finding)| AND <!414252009|Finding of back (finding)|)&limit=7000,1,1
Splenomegaly (disorder),16294009,16294009,Splenomegaly (disorder),(<!51244008|Disorder of spleen (disorder)| AND <!714254003|Abdominal organomegaly (disorder)|)&limit=7000,1,1
Heartburn (finding),16331000,16331000,Heartburn (finding),(<!102619001|Pain in esophagus (finding)| AND <!36349006|Burning pain (finding)| AND <!249496004|Esophageal reflux finding (finding)|)&limit=7000,1,1
Urinary incontinence (finding),165232002,165232002,Urinary incontinence (finding),(<!118228005|Functional finding (finding)| AND <!366279009|Finding of bladder control (finding)| AND <!48340000|Incontinence (finding)|)&limit=7000,1,1
Yellow fever (disorder),16541001,788952008,Hemorrhagic fever caused by Alkhurma virus (disorder),(<!131148009|Bleeding (finding)| AND <!128139000|Inflammatory disorder (disorder)| AND <!111865007|Disease caused by Flavivirus (disorder)|)&limit=7000,4,4
Yellow fever (disorder),16541001,48113006,Omsk hemorrhagic fever (disorder),(<!131148009|Bleeding (finding)| AND <!128139000|Inflammatory disorder (disorder)| AND <!111865007|Disease caused by Flavivirus (disorder)|)&limit=7000,4,4
Yellow fever (disorder),16541001,23097003,Kyasanur Forest disease (disorder),(<!131148009|Bleeding (finding)| AND <!128139000|Inflammatory disorder (disorder)| AND <!111865007|Disease caused by Flavivirus (disorder)|)&limit=7000,4,4
Yellow fever (disorder),16541001,16541001,Yellow fever (disorder),(<!131148009|Bleeding (finding)| AND <!128139000|Inflammatory disorder (disorder)| AND <!111865007|Disease caused by Flavivirus (disorder)|)&limit=7000,4,4
Esophagitis (disorder),16761005,16761005,Esophagitis (disorder),(<!128999004|Inflammatory disorder of digestive tract (disorder)| AND <!37657006|Disorder of esophagus (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)|)&limit=7000,1,1
Ventricular premature beats (disorder),17338001,17338001,Ventricular premature beats (disorder),(<!29717002|Premature beats (disorder)| AND <!33413000|Ectopic beats (disorder)| AND <!44103008|Ventricular arrhythmia (disorder)|)&limit=7000,1,1
Toxic effect of carbon monoxide (disorder),17383000,212859008,Toxic effect of carbon dioxide (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Toxic effect of carbon monoxide (disorder),17383000,212857005,Toxic effect of fluorine gas and hydrogen fluoride (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Toxic effect of carbon monoxide (disorder),17383000,90765000,Toxic effect of chlorine gas (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Toxic effect of carbon monoxide (disorder),17383000,63139000,Toxic effect of freon (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Toxic effect of carbon monoxide (disorder),17383000,38704001,Toxic effect of hydrocyanic acid gas (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Toxic effect of carbon monoxide (disorder),17383000,24310001,Toxic effect of sulfur dioxide (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Toxic effect of carbon monoxide (disorder),17383000,17383000,Toxic effect of carbon monoxide (disorder),"(<!57335002|Toxic effect of gas, fumes AND/OR vapors (disorder)| AND <!441952005|Poisoning caused by chemical substance (disorder)|)&limit=7000",7,7
Transplantation of liver (procedure),18027006,18027006,Transplantation of liver (procedure),(<!363186003|Introduction of substance by body site (procedure)| AND <!313039003|Solid organ transplant (procedure)| AND <!4974007|Operation on liver (procedure)|)&limit=7000,1,1
Direct current cardioversion (procedure),180325003,180325003,Direct current cardioversion (procedure),(<!250980009|Cardioversion (procedure)| AND <!281572005|Direct current cardiac shock (procedure)|)&limit=7000,1,1
Diverticulitis (morphologic abnormality),18126004,18126004,Diverticulitis (morphologic abnormality),(<!708039003|Inflammatory lesion (morphologic abnormality)| AND <!31113003|Diverticulum (morphologic abnormality)|)&limit=7000,1,1
Fracture of phalanx of finger (disorder),18171007,18171007,Fracture of phalanx of finger (disorder),(<!405817008|Fracture of phalanx of hand (disorder)| AND <!299056008|Finding of musculoskeletal structure of finger (finding)| AND <!52011008|Injury of finger (disorder)|)&limit=7000,1,1
Postpartum psychosis (disorder),18260003,18260003,Postpartum psychosis (disorder),(<!80113008|Complication of the puerperium (disorder)| AND <!69322001|Psychotic disorder (disorder)|)&limit=7000,1,1
Catheter ablation of tissue of heart (procedure),18286008,18286008,Catheter ablation of tissue of heart (procedure),(<!276272002|Catheter procedure (procedure)| AND <!27711007|Destructive procedure on heart (procedure)|)&limit=7000,1,1
Toxic shock syndrome (disorder),18504008,18504008,Toxic shock syndrome (disorder),(<!76571007|Septic shock (disorder)| AND <!371582002|Disease caused by Gram-positive bacteria (disorder)|)&limit=7000,1,1
Chronic obstructive bronchitis (disorder),185086009,185086009,Chronic obstructive bronchitis (disorder),(<!36925002|Obstruction of bronchus (disorder)| AND <!63480004|Chronic bronchitis (disorder)|)&limit=7000,1,1
Clostridioides difficile infection (disorder),186431008,186431008,Clostridioides difficile infection (disorder),(<!371582002|Disease caused by Gram-positive bacteria (disorder)| AND <!414529006|Intestinal infectious disease caused by anaerobic bacteria (disorder)|)&limit=7000,1,1
Epidemic vertigo (disorder),186738001,186738001,Epidemic vertigo (disorder),(<!264693006|Vestibular nerve disorder (disorder)| AND <!445053006|Dysfunction of vestibular system (disorder)|)&limit=7000,1,1
Cutaneous schistosomiasis (disorder),187115002,187115002,Cutaneous schistosomiasis (disorder),(<!10087007|Infection caused by Schistosoma (disorder)| AND <!240813008|Cutaneous fluke infection (disorder)|)&limit=7000,1,1
Gingival disease (disorder),18718003,18718003,Gingival disease (disorder),(<!249410009|Gingivae finding (finding)| AND <!266418006|Gingival and periodontal disease (disorder)|)&limit=7000,1,1
Malignant tumor of nasopharynx (disorder),187692001,187692001,Malignant tumor of nasopharynx (disorder),(<!363507003|Malignant neoplasm of pharynx (disorder)| AND <!126680004|Neoplasm of nasopharynx (disorder)|)&limit=7000,1,1
Corticobasal degeneration (disorder),18842008,18842008,Corticobasal degeneration (disorder),(<!128128003|Disorder of cerebral cortex (disorder)| AND <!76349003|Extrapyramidal disease (disorder)| AND <!70835005|Disorder of basal ganglia (disorder)| AND <!418143002|Cerebral degeneration (disorder)|)&limit=7000,1,1
Craniopharyngioma (disorder),189179009,189179009,Craniopharyngioma (disorder),(<!95004009|Neoplasm of uncertain behavior of pituitary gland (disorder)| AND <!237721006|Tumor of pituitary and suprasellar region (disorder)|)&limit=7000,1,1
Oppositional defiant disorder (disorder),18941000,18941000,Oppositional defiant disorder (disorder),(<!3914008|Mental disorder in childhood (disorder)| AND <!54319003|Disruptive behavior disorder (disorder)|)&limit=7000,1,1
Epidural anesthesia (procedure),18946005,18946005,Epidural anesthesia (procedure),(<!745638006|Injection of anesthetic agent (procedure)| AND <!51898002|Injection of spinal epidural space (procedure)|)&limit=7000,1,1
Primary hyperaldosteronism (disorder),190507007,237743003,Glucocorticoid-suppressible hyperaldosteronism (disorder),(<!88213004|Aldosteronism (disorder)| AND <!129636003|Disorder of adrenal cortex (disorder)|)&limit=7000,3,3
Primary hyperaldosteronism (disorder),190507007,190507007,Primary hyperaldosteronism (disorder),(<!88213004|Aldosteronism (disorder)| AND <!129636003|Disorder of adrenal cortex (disorder)|)&limit=7000,3,3
Primary hyperaldosteronism (disorder),190507007,67805000,Secondary aldosteronism (disorder),(<!88213004|Aldosteronism (disorder)| AND <!129636003|Disorder of adrenal cortex (disorder)|)&limit=7000,3,3
